date,description,event_type
1902-05-31,Second Boer War ends in British victory.,war
1903-06-11,King Alexander I of Serbia and his wife Queen Draga are assassinated in a military coup .,political instability
1904-02-08,A Japanese surprise attack on Port Arthur (Lushun) starts the Russo-Japanese War .,war
1905-01-22,The Revolution of 1905 in Russia erupts.,political instability
1905-03-31,"The First Moroccan Crisis begins, going until April 1906. [5]",catastrophe
1905-09-05,The Russo-Japanese War ends in Japanese victory.,war
1906-04-18,"An earthquake in San Francisco, California , magnitude 7.9, kills 3,000.",natural disaster
1906-08-16,"An earthquake in Valparaíso, Chile , magnitude 8.2, kills 20,000.",natural disaster
1906-09-28,The US begins the Second Occupation of Cuba .,war
1908-06-30,The Tunguska event devastates thousands of square kilometres of Siberia.,natural disaster
1908-12-28,"The 1908 Messina earthquake in southern Italy, magnitude 7.1, kills 70,000 people.",natural disaster
1909-03-04,William Howard Taft is inaugurated as President of the United States; deep divisions in his Republican Party over tariffs.,political instability
1909-04-13,A countercoup fails in the Ottoman Empire.,political instability
1910-11-20,Beginning of the Mexican Revolution ( Plan of San Luis Potosí ).,war
1911-03-25,Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.,catastrophe
1911-09-29,"The Italo-Turkish war which led to the capture of Libya by Italy , begins.",war
1912-04-15,Sinking of the RMSTitanic .,catastrophe
1912-10-08,The First Balkan War begins.,war
1913-01-23,"In the 1913 Ottoman coup d'état , Ismail Enver comes to power.",political instability
1913-02-09,Ten Tragic Days in Mexico City .,catastrophe
1913-05-29,Igor Stravinsky 's The Rite of Spring infamously premiers in Paris which causes a riot. [10],catastrophe
1914-06-28,"Gavrilo Princip  assassinates  Archduke Franz Ferdinand of Austria in Sarajevo , triggering the start of World War I that day.",war
1914-08-26,Battle of Tannenberg .,war
1914-09-01,"Martha , last known passenger pigeon , dies.",catastrophe
1914-09-06,First Battle of the Marne .,war
1915-04-22,"Second Battle of Ypres begins, first widespread use of poison gas.",war
1915-04-24,The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide . [11],catastrophe
1915-05-07,Sinking of the RMSLusitania .,catastrophe
1915-07-28,"In the Banana Wars , the United States occupation of Haiti begins.",war
1916-01-09,The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.,war
1916-06-06,The Warlord Era begins in China after the death of Yuan Shikai .,war
1916-06-10,The Arab Revolt begins.,war
1916-09-15,First use of tanks at the Battle of Flers–Courcelette .,war
1916-12-30,Grigori Rasputin is assassinated in Russia.,catastrophe
1917-04-06,USA joins the Entente for the last 17 months of World War I.,war
1917-11-01,The Third Battle of Gaza ends in British victory.,war
1917-11-08,The Ukrainian–Soviet War begins.,war
1918-03-11,"Beginning of the Spanish flu pandemic , which lasts until April 1920 and kills tens of millions.",pandemics
1918-03-30,The Armenian–Azerbaijani War begins.,war
1918-07-16,Assassination of Tsar Nicholas II and his family.,catastrophe
1918-08-08,Battle of Amiens .,war
1918-11-01,"November 1 :
 Independence declared in theWest Ukrainian People's Republic.ThePolish–Ukrainian Warbegins.",war
1918-11-11,"November 11 :
 TheArmistice of 11 November 1918endsWorld War I.Polanddeclares independence from Russia.",war
1919-01-21,The First Red Scare in the United States. Irish War of Independence begins.,war
1919-02-14,Polish–Soviet War begins.,war
1919-04-13,"The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.",catastrophe
1919-05-19,Turkish War of Independence begins.,war
1919-07-18,End of Polish–Ukrainian War .,war
1920-02-02,Victory for Estonia in the Estonian War of Independence .,war
1920-04-27,Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.,war
1921-03-18,End of the Polish–Soviet War .,war
1921-07-29,Adolf Hitler becomes Führer of the Nazi Party as hyperinflation in the Weimar Republic begins.,political instability
1921-11-17,End of the Ukrainian–Soviet War .,war
1922-02-02,James Joyce publishes Ulysses .,war
1922-06-28,The Irish Civil War begins.,war
1922-12-16,"Gabriel Narutowicz , President of Poland , is assassinated.",political instability
1923-01-26,The Italian reconquest of Libya begins.,war
1923-05-24,The Irish Civil War ends.,war
1923-06-09,A military coup ousts and kills Bulgarian Prime Minister Aleksandar Stamboliyski .,political instability
1923-09-01,"The Great Kantō earthquake kills at least 105,000 people in Japan .",natural disaster
